end,AccountsReceivableNetCurrent
2008-09-27,2422000000
2008-09-27,2422000000
2008-09-27,2422000000
2009-06-27,2686000000
2009-09-26,3361000000
2009-09-26,3361000000
2009-09-26,3361000000
2009-09-26,3361000000
2009-09-26,3361000000
2009-09-26,3361000000
2009-12-26,3090000000
2010-03-27,2886000000
2010-06-26,3447000000
2010-09-25,5510000000
2010-09-25,5510000000
2010-09-25,5510000000
2010-09-25,5510000000
2010-09-25,5510000000
2010-12-25,6027000000
2011-03-26,5798000000
2011-06-25,6102000000
2011-09-24,5369000000
2011-09-24,5369000000
2011-09-24,5369000000
2011-09-24,5369000000
2011-09-24,5369000000
2011-09-24,5369000000
2011-12-31,8930000000
2012-03-31,7042000000
2012-06-30,7657000000
2012-09-29,10930000000
2012-09-29,10930000000
2012-09-29,10930000000
2012-09-29,10930000000
2012-09-29,10930000000
2012-09-29,10930000000
2012-12-29,11598000000
2013-03-30,7084000000
2013-06-29,8839000000
2013-09-28,13102000000
2013-09-28,13102000000
2013-09-28,13102000000
2013-09-28,13102000000
2013-09-28,13102000000
2013-09-28,13102000000
2013-12-28,14200000000
2014-03-29,9700000000
2014-06-28,10788000000
2014-09-27,17460000000
2014-09-27,17460000000
2014-09-27,17460000000
2014-09-27,17460000000
2014-09-27,17460000000
2014-09-27,17460000000
2014-12-27,16709000000
2015-03-28,10905000000
2015-06-27,10370000000
2015-09-26,16849000000
2015-09-26,16849000000
2015-09-26,16849000000
2015-09-26,16849000000
2015-09-26,16849000000
2015-12-26,12953000000
2016-03-26,12229000000
2016-06-25,11714000000
2016-09-24,15754000000
2016-09-24,15754000000
2016-09-24,15754000000
2016-09-24,15754000000
2016-09-24,15754000000
2016-12-31,14057000000
2017-04-01,11579000000
2017-07-01,12399000000
2017-09-30,17874000000
2017-09-30,17874000000
2017-09-30,17874000000
2017-09-30,17874000000
2017-09-30,17874000000
2017-12-30,23440000000
2018-03-31,14324000000
2018-06-30,14104000000
2018-09-29,23186000000
2018-09-29,23186000000
2018-09-29,23186000000
2018-09-29,23186000000
2018-09-29,23186000000
2018-12-29,18077000000
2019-03-30,15085000000
2019-06-29,14148000000
2019-09-28,22926000000
2019-09-28,22926000000
2019-09-28,22926000000
2019-09-28,22926000000
2019-09-28,22926000000
2019-12-28,20970000000
2020-03-28,15722000000
2020-06-27,17882000000
2020-09-26,16120000000
2020-09-26,16120000000
2020-09-26,16120000000
2020-09-26,16120000000
2020-09-26,16120000000
2020-12-26,27101000000
2021-03-27,18503000000
2021-06-26,17475000000
2021-09-25,26278000000
2021-09-25,26278000000
2021-09-25,26278000000
2021-09-25,26278000000
2021-09-25,26278000000
2021-12-25,30213000000
2022-03-26,20815000000
2022-06-25,21803000000
2022-09-24,28184000000
2022-09-24,28184000000
2022-09-24,28184000000
2022-09-24,28184000000
2022-09-24,28184000000
2022-12-31,23752000000
2023-04-01,17936000000
2023-07-01,19549000000
2023-09-30,29508000000
2023-09-30,29508000000
2023-09-30,29508000000
2023-09-30,29508000000
2023-09-30,29508000000
2023-12-30,23194000000
2024-03-30,21837000000
2024-06-29,22795000000
2024-09-28,33410000000
2024-09-28,33410000000
2024-09-28,33410000000
2024-09-28,33410000000
2024-12-28,29639000000
2025-03-29,26136000000
2025-06-28,27557000000
