end,AssetsNoncurrent
2017-09-30,246674000000
2018-09-29,234386000000
2018-09-29,234386000000
2018-09-29,234386000000
2018-09-29,234386000000
2018-09-29,234386000000
2018-12-29,232891000000
2019-03-30,218652000000
2019-06-29,187266000000
2019-09-28,175697000000
2019-09-28,175697000000
2019-09-28,175697000000
2019-09-28,175697000000
2019-09-28,175697000000
2019-12-28,177387000000
2020-03-28,176647000000
2020-06-27,177279000000
2020-09-26,180175000000
2020-09-26,180175000000
2020-09-26,180175000000
2020-09-26,180175000000
2020-09-26,180175000000
2020-12-26,199948000000
2021-03-27,215693000000
2021-06-26,215417000000
2021-09-25,216166000000
2021-09-25,216166000000
2021-09-25,216166000000
2021-09-25,216166000000
2021-09-25,216166000000
2021-12-25,228037000000
2022-03-26,232482000000
2022-06-25,224017000000
2022-09-24,217350000000
2022-09-24,217350000000
2022-09-24,217350000000
2022-09-24,217350000000
2022-09-24,217350000000
2022-12-31,217970000000
2023-04-01,219247000000
2023-07-01,212379000000
2023-09-30,209017000000
2023-09-30,209017000000
2023-09-30,209017000000
2023-09-30,209017000000
2023-09-30,209017000000
2023-12-30,209822000000
2024-03-30,208995000000
2024-06-29,206177000000
2024-09-28,211993000000
2024-09-28,211993000000
2024-09-28,211993000000
2024-09-28,211993000000
2024-12-28,210845000000
2025-03-29,212559000000
2025-06-28,209004000000
