end,CashAndCashEquivalentsAtCarryingValue
2006-09-30,6392000000
2006-09-30,6392000000
2007-09-29,9352000000
2007-09-29,9352000000
2007-09-29,9352000000
2007-09-29,9352000000
2008-06-28,9373000000
2008-09-27,11875000000
2008-09-27,11875000000
2008-09-27,11875000000
2008-09-27,11875000000
2008-09-27,11875000000
2008-09-27,11875000000
2008-09-27,11875000000
2008-09-27,11875000000
2008-12-27,7236000000
2009-03-28,4466000000
2009-06-27,5605000000
2009-06-27,5605000000
2009-09-26,5263000000
2009-09-26,5263000000
2009-09-26,5263000000
2009-09-26,5263000000
2009-09-26,5263000000
2009-09-26,5263000000
2009-09-26,5263000000
2009-09-26,5263000000
2009-09-26,5263000000
2009-09-26,5263000000
2009-09-26,5263000000
2009-09-26,5263000000
2009-12-26,7609000000
2009-12-26,7609000000
2010-03-27,10018000000
2010-03-27,10018000000
2010-06-26,9705000000
2010-06-26,9705000000
2010-09-25,11261000000
2010-09-25,11261000000
2010-09-25,11261000000
2010-09-25,11261000000
2010-09-25,11261000000
2010-09-25,11261000000
2010-09-25,11261000000
2010-09-25,11261000000
2010-09-25,11261000000
2010-09-25,11261000000
2010-09-25,11261000000
2010-12-25,10734000000
2010-12-25,10734000000
2011-03-26,15978000000
2011-03-26,15978000000
2011-06-25,12091000000
2011-06-25,12091000000
2011-09-24,9815000000
2011-09-24,9815000000
2011-09-24,9815000000
2011-09-24,9815000000
2011-09-24,9815000000
2011-09-24,9815000000
2011-09-24,9815000000
2011-09-24,9815000000
2011-09-24,9815000000
2011-09-24,9815000000
2011-09-24,9815000000
2011-09-24,9815000000
2011-12-31,10310000000
2011-12-31,10310000000
2012-03-31,10121000000
2012-03-31,10121000000
2012-06-30,7945000000
2012-06-30,7945000000
2012-09-29,10746000000
2012-09-29,10746000000
2012-09-29,10746000000
2012-09-29,10746000000
2012-09-29,10746000000
2012-09-29,10746000000
2012-09-29,10746000000
2012-09-29,10746000000
2012-09-29,10746000000
2012-09-29,10746000000
2012-09-29,10746000000
2012-09-29,10746000000
2012-12-29,16154000000
2012-12-29,16154000000
2013-03-30,12053000000
2013-03-30,12053000000
2013-06-29,11248000000
2013-06-29,11248000000
2013-09-28,14259000000
2013-09-28,14259000000
2013-09-28,14259000000
2013-09-28,14259000000
2013-09-28,14259000000
2013-09-28,14259000000
2013-09-28,14259000000
2013-09-28,14259000000
2013-09-28,14259000000
2013-09-28,14259000000
2013-09-28,14259000000
2013-12-28,14077000000
2013-12-28,14077000000
2014-03-29,18949000000
2014-03-29,18949000000
2014-06-28,12977000000
2014-06-28,12977000000
2014-09-27,13844000000
2014-09-27,13844000000
2014-09-27,13844000000
2014-09-27,13844000000
2014-09-27,13844000000
2014-09-27,13844000000
2014-09-27,13844000000
2014-09-27,13844000000
2014-09-27,13844000000
2014-09-27,13844000000
2014-09-27,13844000000
2014-12-27,19478000000
2014-12-27,19478000000
2015-03-28,14489000000
2015-03-28,14489000000
2015-06-27,15319000000
2015-06-27,15319000000
2015-09-26,21120000000
2015-09-26,21120000000
2015-09-26,21120000000
2015-09-26,21120000000
2015-09-26,21120000000
2015-09-26,21120000000
2015-09-26,21120000000
2015-09-26,21120000000
2015-09-26,21120000000
2015-09-26,21120000000
2015-12-26,16689000000
2015-12-26,16689000000
2016-03-26,21514000000
2016-03-26,21514000000
2016-06-25,18237000000
2016-06-25,18237000000
2016-09-24,20484000000
2016-09-24,20484000000
2016-09-24,20484000000
2016-09-24,20484000000
2016-09-24,20484000000
2016-09-24,20484000000
2016-09-24,20484000000
2016-09-24,20484000000
2016-09-24,20484000000
2016-12-31,16371000000
2016-12-31,16371000000
2017-04-01,15157000000
2017-04-01,15157000000
2017-07-01,18571000000
2017-07-01,18571000000
2017-09-30,20289000000
2017-09-30,20289000000
2017-09-30,20289000000
2017-09-30,20289000000
2017-09-30,20289000000
2017-09-30,20289000000
2017-12-30,27491000000
2017-12-30,27491000000
2018-03-31,45059000000
2018-06-30,31971000000
2018-09-29,25913000000
2018-09-29,25913000000
2018-09-29,25913000000
2018-09-29,25913000000
2018-09-29,25913000000
2018-12-29,44771000000
2019-03-30,37988000000
2019-06-29,50530000000
2019-09-28,48844000000
2019-09-28,48844000000
2019-09-28,48844000000
2019-09-28,48844000000
2019-09-28,48844000000
2019-12-28,39771000000
2020-03-28,40174000000
2020-06-27,33383000000
2020-09-26,38016000000
2020-09-26,38016000000
2020-09-26,38016000000
2020-09-26,38016000000
2020-09-26,38016000000
2020-12-26,36010000000
2021-03-27,38466000000
2021-06-26,34050000000
2021-09-25,34940000000
2021-09-25,34940000000
2021-09-25,34940000000
2021-09-25,34940000000
2021-09-25,34940000000
2021-12-25,37119000000
2022-03-26,28098000000
2022-06-25,27502000000
2022-09-24,23646000000
2022-09-24,23646000000
2022-09-24,23646000000
2022-09-24,23646000000
2022-09-24,23646000000
2022-12-31,20535000000
2023-04-01,24687000000
2023-07-01,28408000000
2023-09-30,29965000000
2023-09-30,29965000000
2023-09-30,29965000000
2023-09-30,29965000000
2023-09-30,29965000000
2023-12-30,40760000000
2024-03-30,32695000000
2024-06-29,25565000000
2024-09-28,29943000000
2024-09-28,29943000000
2024-09-28,29943000000
2024-09-28,29943000000
2024-12-28,30299000000
2025-03-29,28162000000
2025-06-28,36269000000
