end,GrossProfit
2007-09-29,8154000000
2007-09-29,8152000000
2008-06-28,8406000000
2008-06-28,2600000000
2008-09-27,11145000000
2008-09-27,13197000000
2008-09-27,13197000000
2008-12-27,4507000000
2008-12-27,4507000000
2009-03-28,8134000000
2009-03-28,3627000000
2009-03-28,3627000000
2009-06-27,9526000000
2009-06-27,12117000000
2009-06-27,3023000000
2009-06-27,3983000000
2009-06-27,3983000000
2009-09-26,13140000000
2009-09-26,17222000000
2009-09-26,17222000000
2009-09-26,17222000000
2009-09-26,5105000000
2009-12-26,6411000000
2009-12-26,6411000000
2009-12-26,6411000000
2009-12-26,6411000000
2010-03-27,12036000000
2010-03-27,12036000000
2010-03-27,5625000000
2010-03-27,5625000000
2010-03-27,5625000000
2010-03-27,5625000000
2010-06-26,18172000000
2010-06-26,18172000000
2010-06-26,6136000000
2010-06-26,6136000000
2010-06-26,6136000000
2010-06-26,6136000000
2010-09-25,25684000000
2010-09-25,25684000000
2010-09-25,25684000000
2010-09-25,25684000000
2010-09-25,7512000000
2010-09-25,7512000000
2010-12-25,10298000000
2010-12-25,10298000000
2010-12-25,10298000000
2010-12-25,10298000000
2010-12-25,10298000000
2011-03-26,20516000000
2011-03-26,20516000000
2011-03-26,10218000000
2011-03-26,10218000000
2011-03-26,10218000000
2011-03-26,10218000000
2011-03-26,10218000000
2011-06-25,32438000000
2011-06-25,32438000000
2011-06-25,11922000000
2011-06-25,11922000000
2011-06-25,11922000000
2011-06-25,11922000000
2011-06-25,11922000000
2011-09-24,43818000000
2011-09-24,43818000000
2011-09-24,43818000000
2011-09-24,43818000000
2011-09-24,11380000000
2011-09-24,11380000000
2011-09-24,11380000000
2011-12-31,20703000000
2011-12-31,20703000000
2011-12-31,20703000000
2011-12-31,20703000000
2011-12-31,20703000000
2012-03-31,39267000000
2012-03-31,39267000000
2012-03-31,18564000000
2012-03-31,18564000000
2012-03-31,18564000000
2012-03-31,18564000000
2012-03-31,18564000000
2012-06-30,54261000000
2012-06-30,54261000000
2012-06-30,14994000000
2012-06-30,14994000000
2012-06-30,14994000000
2012-06-30,14994000000
2012-06-30,14994000000
2012-09-29,68662000000
2012-09-29,68662000000
2012-09-29,68662000000
2012-09-29,68662000000
2012-09-29,68662000000
2012-09-29,14401000000
2012-09-29,14401000000
2012-09-29,14401000000
2012-12-29,21060000000
2012-12-29,21060000000
2012-12-29,21060000000
2012-12-29,21060000000
2012-12-29,21060000000
2013-03-30,37409000000
2013-03-30,37409000000
2013-03-30,16349000000
2013-03-30,16349000000
2013-03-30,16349000000
2013-03-30,16349000000
2013-03-30,16349000000
2013-06-29,50433000000
2013-06-29,50433000000
2013-06-29,13024000000
2013-06-29,13024000000
