end,IncomeTaxExpenseBenefit
2007-09-29,1512000000
2007-09-29,1511000000
2008-06-28,1615000000
2008-06-28,438000000
2008-09-27,2061000000
2008-09-27,2828000000
2008-09-27,2828000000
2008-12-27,1004000000
2009-03-28,1770000000
2009-03-28,766000000
2009-06-27,1707000000
2009-06-27,2634000000
2009-06-27,503000000
2009-06-27,864000000
2009-09-26,2280000000
2009-09-26,3831000000
2009-09-26,3831000000
2009-09-26,3831000000
2009-12-26,1380000000
2009-12-26,1380000000
2010-03-27,2335000000
2010-03-27,2335000000
2010-03-27,955000000
2010-03-27,955000000
2010-06-26,3374000000
2010-06-26,3374000000
2010-06-26,1039000000
2010-06-26,1039000000
2010-09-25,4527000000
2010-09-25,4527000000
2010-09-25,4527000000
2010-09-25,4527000000
2010-12-25,1959000000
2010-12-25,1959000000
2011-03-26,3872000000
2011-03-26,3872000000
2011-03-26,1913000000
2011-03-26,1913000000
2011-06-25,6115000000
2011-06-25,6115000000
2011-06-25,2243000000
2011-06-25,2243000000
2011-09-24,8283000000
2011-09-24,8283000000
2011-09-24,8283000000
2011-09-24,8283000000
2011-12-31,4413000000
2011-12-31,4413000000
2012-03-31,8323000000
2012-03-31,8323000000
2012-03-31,3910000000
2012-03-31,3910000000
2012-06-30,11360000000
2012-06-30,11360000000
2012-06-30,3037000000
2012-06-30,3037000000
2012-09-29,14030000000
2012-09-29,14030000000
2012-09-29,14030000000
2012-09-29,14030000000
2012-09-29,14030000000
2012-12-29,4594000000
2012-12-29,4594000000
2013-03-30,7952000000
2013-03-30,7952000000
2013-03-30,3358000000
2013-03-30,3358000000
2013-06-29,10487000000
2013-06-29,10487000000
2013-06-29,2535000000
2013-06-29,2535000000
2013-09-28,13118000000
2013-09-28,13118000000
2013-09-28,13118000000
2013-09-28,13118000000
2013-12-28,4637000000
2013-12-28,4637000000
2014-03-29,8232000000
2014-03-29,8232000000
2014-03-29,3595000000
2014-03-29,3595000000
2014-06-28,10968000000
2014-06-28,10968000000
2014-06-28,2736000000
2014-06-28,2736000000
2014-09-27,13973000000
2014-09-27,13973000000
2014-09-27,13973000000
2014-09-27,13973000000
2014-12-27,6392000000
2014-12-27,6392000000
2015-03-28,11387000000
2015-03-28,11387000000
2015-03-28,4995000000
2015-03-28,4995000000
2015-06-27,15183000000
2015-06-27,15183000000
2015-06-27,3796000000
2015-06-27,3796000000
2015-09-26,19121000000
2015-09-26,19121000000
2015-09-26,19121000000
2015-12-26,6212000000
2015-12-26,6212000000
2016-03-26,9838000000
2016-03-26,9838000000
2016-03-26,3626000000
2016-03-26,3626000000
2016-06-25,12511000000
2016-06-25,12511000000
2016-06-25,2673000000
2016-06-25,2673000000
2016-09-24,15685000000
2016-09-24,15685000000
2016-09-24,15685000000
2016-12-31,6289000000
2016-12-31,6289000000
2017-04-01,9944000000
2017-04-01,9944000000
2017-04-01,3655000000
2017-04-01,3655000000
2017-07-01,12535000000
2017-07-01,12535000000
2017-07-01,2591000000
2017-07-01,2591000000
2017-09-30,15738000000
2017-09-30,15738000000
2017-09-30,15738000000
2017-12-30,6965000000
2017-12-30,6965000000
2018-03-31,9311000000
2018-03-31,9311000000
2018-03-31,2346000000
2018-03-31,2346000000
2018-06-30,11076000000
2018-06-30,11076000000
2018-06-30,1765000000
2018-06-30,1765000000
2018-09-29,13372000000
2018-09-29,13372000000
2018-09-29,13372000000
2018-12-29,3941000000
2018-12-29,3941000000
2019-03-30,6173000000
2019-03-30,6173000000
2019-03-30,2232000000
2019-03-30,2232000000
2019-06-29,8040000000
2019-06-29,8040000000
2019-06-29,1867000000
2019-06-29,1867000000
2019-09-28,10481000000
2019-09-28,10481000000
2019-09-28,10481000000
2019-12-28,3682000000
2019-12-28,3682000000
2020-03-28,5568000000
2020-03-28,5568000000
2020-03-28,1886000000
2020-03-28,1886000000
2020-06-27,7452000000
2020-06-27,7452000000
2020-06-27,1884000000
2020-06-27,1884000000
2020-09-26,9680000000
2020-09-26,9680000000
2020-09-26,9680000000
2020-12-26,4824000000
2020-12-26,4824000000
2021-03-27,9205000000
2021-03-27,9205000000
2021-03-27,4381000000
2021-03-27,4381000000
2021-06-26,11830000000
2021-06-26,11830000000
2021-06-26,2625000000
2021-06-26,2625000000
2021-09-25,14527000000
2021-09-25,14527000000
2021-09-25,14527000000
2021-12-25,6611000000
2021-12-25,6611000000
2022-03-26,11740000000
2022-03-26,11740000000
2022-03-26,5129000000
2022-03-26,5129000000
2022-06-25,15364000000
2022-06-25,15364000000
2022-06-25,3624000000
2022-06-25,3624000000
2022-09-24,19300000000
2022-09-24,19300000000
2022-09-24,19300000000
2022-12-31,5625000000
2022-12-31,5625000000
2023-04-01,9847000000
2023-04-01,9847000000
2023-04-01,4222000000
2023-04-01,4222000000
2023-07-01,12699000000
2023-07-01,12699000000
2023-07-01,2852000000
2023-07-01,2852000000
2023-09-30,16741000000
2023-09-30,16741000000
2023-12-30,6407000000
2023-12-30,6407000000
2024-03-30,10829000000
2024-03-30,10829000000
2024-03-30,4422000000
2024-03-30,4422000000
2024-06-29,14875000000
2024-06-29,14875000000
2024-06-29,4046000000
2024-06-29,4046000000
2024-09-28,29749000000
2024-12-28,6254000000
2025-03-29,10784000000
2025-03-29,4530000000
2025-06-28,15381000000
2025-06-28,4597000000
