end,IncreaseDecreaseInAccountsReceivable
2007-09-29,385000000
2007-09-29,385000000
2008-06-28,-34000000
2008-09-27,785000000
2008-09-27,785000000
2008-09-27,785000000
2008-12-27,-226000000
2009-03-28,-490000000
2009-06-27,264000000
2009-06-27,264000000
2009-09-26,939000000
2009-09-26,939000000
2009-09-26,939000000
2009-09-26,939000000
2009-12-26,-271000000
2009-12-26,-271000000
2010-03-27,-482000000
2010-03-27,-482000000
2010-06-26,79000000
2010-06-26,79000000
2010-09-25,2142000000
2010-09-25,2142000000
2010-09-25,2142000000
2010-09-25,2142000000
2010-12-25,517000000
2010-12-25,517000000
2011-03-26,288000000
2011-03-26,288000000
2011-06-25,592000000
2011-06-25,592000000
2011-09-24,-143000000
2011-09-24,-143000000
2011-09-24,-143000000
2011-09-24,-143000000
2011-12-31,3561000000
2011-12-31,3561000000
2012-03-31,1663000000
2012-03-31,1663000000
2012-06-30,2278000000
2012-06-30,2278000000
2012-09-29,5551000000
2012-09-29,5551000000
2012-09-29,5551000000
2012-09-29,5551000000
2012-09-29,5551000000
2012-12-29,668000000
2012-12-29,668000000
2013-03-30,-3846000000
2013-03-30,-3846000000
2013-06-29,-2091000000
2013-06-29,-2091000000
2013-09-28,2172000000
2013-09-28,2172000000
2013-09-28,2172000000
2013-09-28,2172000000
2013-12-28,1098000000
2013-12-28,1098000000
2014-03-29,-3401000000
2014-03-29,-3401000000
2014-06-28,-2314000000
2014-06-28,-2314000000
2014-09-27,4232000000
2014-09-27,4232000000
2014-09-27,4232000000
2014-09-27,4232000000
2014-12-27,-751000000
2014-12-27,-751000000
2015-03-28,-6555000000
2015-03-28,-6555000000
2015-06-27,-7090000000
2015-06-27,-7090000000
2015-09-26,-611000000
2015-09-26,-611000000
2015-09-26,-417000000
2015-12-26,-3896000000
2015-12-26,-3896000000
2016-03-26,-4620000000
2016-03-26,-4538000000
2016-06-25,-5135000000
2016-06-25,-4623000000
2016-09-24,-1095000000
2016-09-24,-527000000
2016-09-24,-527000000
2016-12-31,-1697000000
2016-12-31,-1697000000
2017-04-01,-4183000000
2017-04-01,-4183000000
2017-07-01,-3381000000
2017-07-01,-3381000000
2017-09-30,2093000000
2017-09-30,2093000000
2017-09-30,2093000000
2017-12-30,5570000000
2017-12-30,5570000000
2018-03-31,-3523000000
2018-03-31,-3523000000
2018-06-30,-3756000000
2018-06-30,-3756000000
2018-09-29,5322000000
2018-09-29,5322000000
2018-09-29,5322000000
2018-12-29,-5130000000
2018-12-29,-5130000000
2019-03-30,-8094000000
2019-03-30,-8094000000
2019-06-29,-9013000000
2019-06-29,-9013000000
2019-09-28,-245000000
2019-09-28,-245000000
2019-09-28,-245000000
2019-12-28,-2015000000
2019-12-28,-2015000000
2020-03-28,-7284000000
2020-03-28,-7284000000
2020-06-27,-5149000000
2020-06-27,-5149000000
2020-09-26,-6917000000
2020-09-26,-6917000000
2020-09-26,-6917000000
2020-12-26,10945000000
2020-12-26,10945000000
2021-03-27,2347000000
2021-03-27,2347000000
2021-06-26,1316000000
2021-06-26,1316000000
2021-09-25,10125000000
2021-09-25,10125000000
2021-09-25,10125000000
2021-12-25,3934000000
2021-12-25,3934000000
2022-03-26,-5542000000
2022-03-26,-5542000000
2022-06-25,-4561000000
2022-06-25,-4561000000
2022-09-24,1823000000
2022-09-24,1823000000
2022-09-24,1823000000
2022-12-31,-4275000000
2022-12-31,-4275000000
2023-04-01,-9596000000
2023-04-01,-9596000000
2023-07-01,-7609000000
2023-07-01,-7609000000
2023-09-30,1688000000
2023-09-30,1688000000
2023-12-30,-6555000000
2023-12-30,-6555000000
2024-03-30,-7727000000
2024-03-30,-7727000000
2024-06-29,-6697000000
2024-06-29,-6697000000
2024-09-28,3788000000
2024-12-28,-3597000000
2025-03-29,-7266000000
2025-06-28,-5685000000
