end,LiabilitiesNoncurrent
2017-09-30,140458000000
2018-09-29,141712000000
2018-09-29,142649000000
2018-09-29,142649000000
2018-09-29,142649000000
2018-09-29,142649000000
2018-12-29,147544000000
2019-03-30,142366000000
2019-06-29,136079000000
2019-09-28,142310000000
2019-09-28,142310000000
2019-09-28,142310000000
2019-09-28,142310000000
2019-09-28,142310000000
2019-12-28,148926000000
2020-03-28,145881000000
2020-06-27,149744000000
2020-09-26,153157000000
2020-09-26,153157000000
2020-09-26,153157000000
2020-09-26,153157000000
2020-09-26,153157000000
2020-12-26,155323000000
2021-03-27,161595000000
2021-06-26,157806000000
2021-09-25,162431000000
2021-09-25,162431000000
2021-09-25,162431000000
2021-09-25,162431000000
2021-09-25,162431000000
2021-12-25,161685000000
2022-03-26,155755000000
2022-06-25,148329000000
2022-09-24,148101000000
2022-09-24,148101000000
2022-09-24,148101000000
2022-09-24,148101000000
2022-09-24,148101000000
2022-12-31,152734000000
2023-04-01,149927000000
2023-07-01,149801000000
2023-09-30,145129000000
2023-09-30,145129000000
2023-09-30,145129000000
2023-09-30,145129000000
2023-09-30,145129000000
2023-12-30,145441000000
2024-03-30,139395000000
2024-06-29,133280000000
2024-09-28,131638000000
2024-09-28,131638000000
2024-09-28,131638000000
2024-09-28,131638000000
2024-12-28,132962000000
2025-03-29,119866000000
2025-06-28,124545000000
