end,LongTermDebtNoncurrent
2014-09-27,28987000000
2014-09-27,28987000000
2015-06-27,47419000000
2015-09-26,53463000000
2015-09-26,53463000000
2015-09-26,53463000000
2015-09-26,53463000000
2015-09-26,53329000000
2015-12-26,53204000000
2016-03-26,69374000000
2016-06-25,68939000000
2016-09-24,75427000000
2016-09-24,75427000000
2016-09-24,75427000000
2016-09-24,75427000000
2016-09-24,75427000000
2016-12-31,73557000000
2017-04-01,84531000000
2017-07-01,89864000000
2017-09-30,97207000000
2017-09-30,97207000000
2017-09-30,97207000000
2017-09-30,97207000000
2017-09-30,97207000000
2017-12-30,103922000000
2018-03-31,101362000000
2018-06-30,97128000000
2018-09-29,93735000000
2018-09-29,93735000000
2018-09-29,93735000000
2018-09-29,93735000000
2018-09-29,93735000000
2018-12-29,92989000000
2019-03-30,90201000000
2019-06-29,84936000000
2019-09-28,91807000000
2019-09-28,91807000000
2019-09-28,91807000000
2019-09-28,91807000000
2019-09-28,91807000000
2019-12-28,93078000000
2020-03-28,89086000000
2020-06-27,94048000000
2020-09-26,98667000000
2020-09-26,98667000000
2020-09-26,98667000000
2020-09-26,98667000000
2020-09-26,98667000000
2020-12-26,99281000000
2021-03-27,108642000000
2021-06-26,105752000000
2021-09-25,109106000000
2021-09-25,109106000000
2021-09-25,109106000000
2021-09-25,109106000000
2021-09-25,109106000000
2021-12-25,106629000000
2022-03-26,103323000000
2022-06-25,94700000000
2022-09-24,98959000000
2022-09-24,98959000000
2022-09-24,98959000000
2022-09-24,98959000000
2022-09-24,98959000000
2022-12-31,99627000000
2023-04-01,97041000000
2023-07-01,98071000000
2023-09-30,95281000000
2023-09-30,95281000000
2023-09-30,95281000000
2023-09-30,95281000000
2023-09-30,95281000000
2023-12-30,95088000000
2024-03-30,91831000000
2024-06-29,86196000000
2024-09-28,85750000000
2024-09-28,85750000000
2024-09-28,85750000000
2024-09-28,85750000000
2024-12-28,83956000000
2025-03-29,78566000000
2025-06-28,82430000000
