end,NetCashProvidedByUsedInInvestingActivities
2007-09-29,-3249000000
2007-09-29,-3249000000
2008-06-28,-6196000000
2008-09-27,-8189000000
2008-09-27,-8189000000
2008-09-27,-8189000000
2008-12-27,-8639000000
2009-03-28,-12324000000
2009-06-27,-13663000000
2009-06-27,-13663000000
2009-09-26,-17434000000
2009-09-26,-17434000000
2009-09-26,-17434000000
2009-09-26,-17434000000
2009-12-26,-3958000000
2009-12-26,-3958000000
2010-03-27,-4041000000
2010-03-27,-4041000000
2010-06-26,-9471000000
2010-06-26,-9471000000
2010-09-25,-13854000000
2010-09-25,-13854000000
2010-09-25,-13854000000
2010-09-25,-13854000000
2010-12-25,-10729000000
2010-12-25,-10729000000
2011-03-26,-12251000000
2011-03-26,-12251000000
2011-06-25,-27283000000
2011-06-25,-27283000000
2011-09-24,-40419000000
2011-09-24,-40419000000
2011-09-24,-40419000000
2011-09-24,-40419000000
2011-12-31,-17128000000
2011-12-31,-17128000000
2012-03-31,-31604000000
2012-03-31,-31604000000
2012-06-30,-43914000000
2012-06-30,-43914000000
2012-09-29,-48227000000
2012-09-29,-48227000000
2012-09-29,-48227000000
2012-12-29,-13521000000
2012-12-29,-13521000000
2013-03-30,-27878000000
2013-06-29,-34385000000
2013-09-28,-33774000000
2013-12-28,-15103000000
2015-09-26,-56274000000
2016-03-26,-34110000000
2016-06-25,-38580000000
2016-09-24,-45977000000
2016-09-24,-45977000000
2016-12-31,-19122000000
2017-04-01,-33324000000
2017-04-01,-33324000000
2017-07-01,-36504000000
2017-07-01,-36504000000
2017-09-30,-46446000000
2017-09-30,-46446000000
2017-09-30,-46446000000
2017-12-30,-13590000000
2017-12-30,-13590000000
2018-03-31,15120000000
2018-03-31,15120000000
2018-06-30,19067000000
2018-06-30,19067000000
2018-09-29,16066000000
2018-09-29,16066000000
2018-09-29,16066000000
2018-12-29,5844000000
2018-12-29,5844000000
2019-03-30,19192000000
2019-03-30,19192000000
2019-06-29,46694000000
2019-06-29,46694000000
2019-09-28,45896000000
2019-09-28,45896000000
2019-09-28,45896000000
2019-12-28,-13668000000
2019-12-28,-13668000000
2020-03-28,-4655000000
2020-03-28,-4655000000
2020-06-27,-9820000000
2020-06-27,-9820000000
2020-09-26,-4289000000
2020-09-26,-4289000000
2020-09-26,-4289000000
2020-12-26,-8584000000
2020-12-26,-8584000000
2021-03-27,-18952000000
2021-03-27,-18952000000
2021-06-26,-15380000000
2021-06-26,-15380000000
2021-09-25,-14545000000
2021-09-25,-14545000000
2021-09-25,-14545000000
2021-12-25,-16106000000
2021-12-25,-16106000000
2022-03-26,-25371000000
2022-03-26,-25371000000
2022-06-25,-21137000000
2022-06-25,-21137000000
2022-09-24,-22354000000
2022-09-24,-22354000000
2022-09-24,-22354000000
2022-12-31,-1445000000
2022-12-31,-1445000000
2023-04-01,874000000
2023-04-01,874000000
2023-07-01,1311000000
2023-07-01,1311000000
2023-09-30,3705000000
2023-09-30,3705000000
2023-12-30,1927000000
2023-12-30,1927000000
2024-03-30,1617000000
2024-03-30,1617000000
2024-06-29,1490000000
2024-06-29,1490000000
2024-09-28,2935000000
2024-12-28,9792000000
2025-03-29,12709000000
2025-06-28,17782000000
