end,PaymentsOfDividendsCommonStock
2015-12-26,2898000000
2015-12-26,2898000000
2016-03-26,2879000000
2016-03-26,2879000000
2016-06-25,3117000000
2016-06-25,3117000000
2016-09-24,11965000000
2016-09-24,11965000000
2016-09-24,3071000000
2016-09-24,3071000000
2016-12-31,3042000000
2016-12-31,3042000000
2016-12-31,3042000000
2017-04-01,2988000000
2017-04-01,2988000000
2017-04-01,2988000000
2017-07-01,9311000000
2017-07-01,3281000000
2017-07-01,3281000000
2017-07-01,3281000000
2017-09-30,12563000000
2017-09-30,12563000000
2017-09-30,3252000000
2017-09-30,3252000000
2017-12-30,3232000000
