end,StockholdersEquity
2006-09-30,9984000000
2006-09-30,9984000000
2007-09-29,14532000000
2007-09-29,14531000000
2007-09-29,14531000000
2008-09-27,21030000000
2008-09-27,21030000000
2008-09-27,22297000000
2008-09-27,22297000000
2008-09-27,22297000000
2009-06-27,25888000000
2009-09-26,27832000000
2009-09-26,31640000000
2009-09-26,31640000000
2009-09-26,31640000000
2009-09-26,31640000000
2009-09-26,31640000000
2009-09-26,31640000000
2009-09-26,31640000000
2009-09-26,31640000000
2009-12-26,35768000000
2010-03-27,39348000000
2010-06-26,43111000000
2010-09-25,47791000000
2010-09-25,47791000000
2010-09-25,47791000000
2010-09-25,47791000000
2010-09-25,47791000000
2010-09-25,47791000000
2010-09-25,47791000000
2010-09-25,47791000000
2010-12-25,54666000000
2011-03-26,61477000000
2011-06-25,69343000000
2011-09-24,76615000000
2011-09-24,76615000000
2011-09-24,76615000000
2011-09-24,76615000000
2011-09-24,76615000000
2011-09-24,76615000000
2011-09-24,76615000000
2011-09-24,76615000000
2011-09-24,76615000000
2011-12-31,90054000000
2012-03-31,102498000000
2012-06-30,111746000000
2012-09-29,118210000000
2012-09-29,118210000000
2012-09-29,118210000000
2012-09-29,118210000000
2012-09-29,118210000000
2012-09-29,118210000000
2012-09-29,118210000000
2012-09-29,118210000000
2012-09-29,118210000000
2012-12-29,127346000000
2013-03-30,135490000000
2013-06-29,123354000000
2013-09-28,123549000000
2013-09-28,123549000000
2013-09-28,123549000000
2013-09-28,123549000000
2013-09-28,123549000000
2013-09-28,123549000000
2013-09-28,123549000000
2013-09-28,123549000000
2013-12-28,129684000000
2014-03-29,120179000000
2014-06-28,120940000000
2014-09-27,111547000000
2014-09-27,111547000000
2014-09-27,111547000000
2014-09-27,111547000000
2014-09-27,111547000000
2014-09-27,111547000000
2014-09-27,111547000000
2014-09-27,111547000000
2014-12-27,123328000000
2015-03-28,129006000000
2015-06-27,125677000000
2015-09-26,119355000000
2015-09-26,119355000000
2015-09-26,119355000000
2015-09-26,119355000000
2015-09-26,119355000000
2015-09-26,119355000000
2015-09-26,119355000000
2015-12-26,128267000000
2016-03-26,130457000000
2016-06-25,126541000000
2016-09-24,128249000000
2016-09-24,128249000000
2016-09-24,128249000000
2016-09-24,128249000000
2016-09-24,128249000000
2016-09-24,128249000000
2016-09-24,128249000000
2016-12-31,132390000000
2017-04-01,134082000000
2017-07-01,132425000000
2017-09-30,134047000000
2017-09-30,134047000000
2017-09-30,134047000000
2017-09-30,134047000000
2017-09-30,134047000000
2017-09-30,134047000000
2017-09-30,134047000000
2017-09-30,134047000000
