end,AccountsReceivableNetCurrent,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInOtherReceivables,InventoryNet,Liabilities,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,ResearchAndDevelopmentExpense,StockholdersEquity,Year,Month,Month_Name
2006-09-30,,,,6392.0,,,,,,,,,,,,,,,,9984.0,2006,9,September
2007-09-29,,,,9352.0,8152.0,,1511.0,385.0,,,,,739.0,-3249.0,5470.0,3495.0,3745.0,4407.0,782.0,14531.0,2007,9,September
2008-06-28,,,,9373.0,2600.0,,438.0,-34.0,,,,,916.0,-6196.0,5301.0,1072.0,1208.0,1392.0,292.0,,2008,6,June
2008-09-27,2422.0,36171.0,30006.0,11875.0,13197.0,,2828.0,785.0,-110.0,509.0,13874.0,11361.0,1116.0,-8189.0,9596.0,6119.0,4870.0,8327.0,1109.0,22297.0,2008,9,September
2008-12-27,,,,7236.0,4507.0,,1004.0,-226.0,,,,,62.0,-8639.0,3938.0,2255.0,1406.0,3101.0,315.0,,2008,12,December
2009-03-28,,,,4466.0,3627.0,,766.0,-490.0,,,,,136.0,-12324.0,4779.0,1620.0,1304.0,2323.0,319.0,,2009,3,March
2009-06-27,2686.0,48140.0,35170.0,5605.0,3983.0,,2634.0,264.0,-788.0,380.0,22252.0,16661.0,344.0,-13663.0,7049.0,1828.0,4061.0,8056.0,975.0,25888.0,2009,6,June
2009-09-26,3361.0,53851.0,31555.0,5263.0,17222.0,,3831.0,939.0,-586.0,455.0,15861.0,11506.0,663.0,-17434.0,10159.0,8235.0,5482.0,11740.0,1333.0,31640.0,2009,9,September
2009-12-26,3090.0,53926.0,33332.0,7609.0,6411.0,,1380.0,-271.0,95.0,576.0,18158.0,13097.0,523.0,-3958.0,5781.0,3378.0,1686.0,4725.0,398.0,35768.0,2009,12,December
2010-03-27,2886.0,57057.0,32336.0,10018.0,12036.0,,955.0,-482.0,47.0,638.0,17709.0,12229.0,685.0,-4041.0,8111.0,6452.0,1646.0,3979.0,426.0,39348.0,2010,3,March
2010-06-26,3447.0,64725.0,36033.0,9705.0,6136.0,,3374.0,79.0,1256.0,942.0,21614.0,15612.0,1001.0,-9471.0,12912.0,3253.0,5234.0,12938.0,1288.0,43111.0,2010,6,June
2010-09-25,5510.0,75183.0,41678.0,11261.0,25684.0,,4527.0,2142.0,2718.0,1051.0,27392.0,20722.0,1257.0,-13854.0,18595.0,14013.0,7299.0,18385.0,1782.0,47791.0,2010,9,September
2010-12-25,6027.0,86742.0,43927.0,10734.0,10298.0,,1959.0,517.0,433.0,885.0,32076.0,23795.0,429.0,-10729.0,9773.0,6004.0,2471.0,7827.0,575.0,54666.0,2010,12,December
2011-09-24,5369.0,116371.0,44988.0,9815.0,43818.0,34205.0,8283.0,-143.0,1934.0,776.0,39756.0,27970.0,1444.0,-40419.0,37529.0,25922.0,10028.0,33790.0,2429.0,76615.0,2011,9,September
2011-12-31,8930.0,138681.0,54771.0,10310.0,20703.0,,4413.0,3561.0,1206.0,1236.0,48627.0,34607.0,69.0,-17128.0,17554.0,13064.0,3363.0,17340.0,758.0,90054.0,2011,12,December
2011-03-26,5798.0,94904.0,46997.0,15978.0,20516.0,,1913.0,288.0,883.0,930.0,33427.0,24327.0,976.0,-12251.0,15992.0,11991.0,2344.0,7874.0,581.0,61477.0,2011,3,March
2011-06-25,6102.0,106758.0,46898.0,12091.0,11922.0,,6115.0,592.0,955.0,889.0,37415.0,26859.0,1013.0,-27283.0,27100.0,7308.0,7358.0,25080.0,1784.0,69343.0,2011,6,June
2012-03-31,7042.0,150934.0,50712.0,10121.0,18564.0,,8323.0,1663.0,379.0,1102.0,48436.0,32036.0,379.0,-31604.0,31531.0,11622.0,6543.0,32724.0,1599.0,102498.0,2012,3,March
2012-06-30,7657.0,162896.0,51943.0,7945.0,14994.0,11861.0,11360.0,2278.0,293.0,1122.0,51150.0,33060.0,324.0,-43914.0,41720.0,8824.0,9964.0,44297.0,2475.0,111746.0,2012,6,June
2012-09-29,10930.0,176064.0,57653.0,10746.0,68662.0,55763.0,14030.0,5551.0,1414.0,791.0,57854.0,38542.0,-1698.0,-48227.0,50856.0,41733.0,13421.0,55241.0,3381.0,118210.0,2012,9,September
2012-12-29,11598.0,196088.0,72348.0,16154.0,21060.0,17672.0,4594.0,668.0,2174.0,1455.0,68742.0,46879.0,-4497.0,-13521.0,23426.0,13078.0,3850.0,17210.0,1010.0,127346.0,2012,12,December
2013-09-28,13102.0,207000.0,73286.0,14259.0,64304.0,50155.0,13118.0,2172.0,-223.0,1764.0,83451.0,43658.0,-16379.0,-33774.0,53666.0,37037.0,15305.0,48999.0,4475.0,123549.0,2013,9,September
2013-12-28,14200.0,225184.0,80347.0,14077.0,21846.0,17709.0,4637.0,1098.0,3459.0,2122.0,95500.0,53769.0,-7749.0,-15103.0,22670.0,13072.0,4383.0,17463.0,1330.0,129684.0,2013,12,December
2013-03-30,7084.0,194743.0,63337.0,12053.0,16349.0,30577.0,3358.0,-3846.0,-1510.0,1245.0,59253.0,35508.0,-6745.0,-27878.0,35930.0,9547.0,3791.0,12558.0,1119.0,135490.0,2013,3,March
2013-06-29,8839.0,199856.0,68219.0,11248.0,13024.0,9435.0,10487.0,-2091.0,-3148.0,1697.0,76502.0,36319.0,-8871.0,-34385.0,43758.0,6900.0,11464.0,38969.0,3307.0,123354.0,2013,6,June
2014-03-29,9700.0,205989.0,70541.0,18949.0,17947.0,13818.0,8232.0,-3401.0,-1419.0,1829.0,85810.0,43208.0,,,,10223.0,8737.0,31056.0,2752.0,120179.0,2014,3,March
2014-06-28,10788.0,222520.0,67949.0,12977.0,14735.0,10484.0,10968.0,-2314.0,-1486.0,1594.0,101580.0,46205.0,,,,7748.0,13190.0,41338.0,4355.0,120940.0,2014,6,June
2014-09-27,17460.0,231839.0,68531.0,13844.0,16009.0,53483.0,13973.0,4232.0,2220.0,2111.0,120292.0,63448.0,,,,8467.0,18034.0,52503.0,6041.0,111547.0,2014,9,September
2014-12-27,16709.0,261894.0,83403.0,19478.0,29741.0,24416.0,6392.0,-751.0,3508.0,2283.0,138566.0,73611.0,,,,18024.0,5495.0,24246.0,1895.0,123328.0,2014,12,December
2015-12-26,12953.0,293284.0,76219.0,16689.0,30423.0,24573.0,6212.0,-3896.0,-1826.0,2451.0,165017.0,76092.0,,,,18361.0,6252.0,24171.0,2404.0,128267.0,2015,12,December
2015-03-28,10905.0,261194.0,67891.0,14489.0,23656.0,42980.0,11387.0,-6555.0,-2500.0,2396.0,132188.0,58729.0,,,,13569.0,10873.0,42524.0,3813.0,129006.0,2015,3,March
2015-06-27,10370.0,273151.0,70953.0,15319.0,73078.0,57453.0,3796.0,-7090.0,-222.0,2042.0,147474.0,65285.0,,,,42270.0,5598.0,14083.0,2034.0,125677.0,2015,6,June
2015-09-26,16849.0,290345.0,89378.0,21120.0,20548.0,72515.0,19121.0,-417.0,3735.0,2349.0,170990.0,80610.0,-17716.0,-56274.0,81266.0,11124.0,22396.0,71230.0,8067.0,119355.0,2015,9,September
2016-12-31,14057.0,331141.0,103332.0,16371.0,30176.0,24180.0,6289.0,-1697.0,375.0,2712.0,198751.0,84130.0,-12225.0,-19122.0,27234.0,17891.0,6817.0,23359.0,2871.0,132390.0,2016,12,December
2016-09-24,15754.0,321686.0,106869.0,20484.0,17813.0,61372.0,15685.0,-527.0,51.0,2132.0,193437.0,79006.0,-20890.0,-45977.0,66231.0,9014.0,24239.0,60024.0,10045.0,128249.0,2016,9,September
2016-03-26,12229.0,305277.0,87592.0,21514.0,19921.0,38715.0,9838.0,-4620.0,-5899.0,2281.0,174820.0,68265.0,-4560.0,-34110.0,39064.0,10516.0,12186.0,38158.0,4915.0,130457.0,2016,3,March
2016-06-25,11714.0,305602.0,93761.0,18237.0,66450.0,10469.0,12511.0,-4623.0,-6166.0,1831.0,179061.0,71486.0,-14001.0,-38580.0,49698.0,36673.0,18187.0,48263.0,7475.0,126541.0,2016,6,June
2017-04-01,11579.0,334532.0,101990.0,15157.0,20591.0,38864.0,3655.0,-4183.0,-4512.0,2910.0,200450.0,73342.0,-11807.0,-33324.0,39804.0,11029.0,6494.0,14097.0,2776.0,134082.0,2017,4,April
2017-07-01,12399.0,345173.0,112875.0,18571.0,68255.0,11308.0,12535.0,-3381.0,-3312.0,3146.0,212748.0,81302.0,-13885.0,-36504.0,48476.0,37637.0,20031.0,48224.0,8584.0,132425.0,2017,7,July
