end,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SalesRevenueNet,SalesRevenueServicesGross,ContractWithCustomerLiabilityRevenueRecognized,DeferredRevenueCurrent,DeferredRevenueNoncurrent,IncreaseDecreaseInDeferredRevenue
2007-09-29,,,24006000000.0,,,,,1139000000.0
2007-09-29,,,24006000000.0,,,,,566000000.0
2007-09-29,,,24578000000.0,,,,,1139000000.0
2007-09-29,,,24578000000.0,,,,,566000000.0
2008-06-28,,,24584000000.0,,,,,1823000000.0
2008-06-28,,,7464000000.0,,,,,1823000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,3029000000.0,5642000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,3029000000.0,5642000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,768000000.0,718000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,768000000.0,718000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,768000000.0,5642000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,3029000000.0,5642000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,3029000000.0,5642000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,768000000.0,718000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,768000000.0,718000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,768000000.0,5642000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,768000000.0,718000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,3029000000.0,5642000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,768000000.0,718000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,768000000.0,718000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,768000000.0,5642000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,3029000000.0,5642000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,1617000000.0,3029000000.0,5642000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,768000000.0,718000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,768000000.0,718000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,768000000.0,5642000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,3029000000.0,5642000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,768000000.0,718000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,768000000.0,5642000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,32479000000.0,,,4853000000.0,768000000.0,718000000.0
2008-09-27,,,37491000000.0,,,4853000000.0,3029000000.0,5642000000.0
2008-09-27,,,32479000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,32479000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,32479000000.0,,,4853000000.0,3029000000.0,5642000000.0
2008-09-27,,,32479000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,32479000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,32479000000.0,,,4853000000.0,3029000000.0,5642000000.0
2008-09-27,,,32479000000.0,,,4853000000.0,768000000.0,718000000.0
2008-09-27,,,32479000000.0,,,4853000000.0,768000000.0,718000000.0
2008-09-27,,,32479000000.0,,,4853000000.0,768000000.0,5642000000.0
2008-09-27,,,32479000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,32479000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,32479000000.0,,,4853000000.0,3029000000.0,5642000000.0
2008-09-27,,,32479000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,32479000000.0,,,4853000000.0,3029000000.0,718000000.0
2008-09-27,,,32479000000.0,,,4853000000.0,3029000000.0,5642000000.0
