end,Assets,AssetsCurrent,AssetsNoncurrent,CashAndCashEquivalentsAtCarryingValue,EarningsPerShareBasic,EarningsPerShareDiluted,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,Liabilities,LiabilitiesCurrent,LiabilitiesNoncurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,ResearchAndDevelopmentExpense,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SalesRevenueNet,StockholdersEquity,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2006-09-30,,,,6392000000.0,,,,,,,,,,,,,,,,,,,9984000000.0,,
2007-09-29,,,,9352000000.0,4.04,3.93,8152000000.0,,1511000000.0,,,,739000000.0,-3249000000.0,5470000000.0,3496000000.0,3745000000.0,4407000000.0,782000000.0,,,24578000000.0,14531000000.0,889292000.0,864595000.0
2008-06-28,,,,9373000000.0,1.21,1.19,2600000000.0,,1615000000.0,,,,916000000.0,-6196000000.0,5301000000.0,3698000000.0,3573000000.0,4833000000.0,811000000.0,,,7464000000.0,,901028000.0,883738000.0
2008-09-27,36171000000.0,32311000000.0,,11875000000.0,5.48,6.78,13197000000.0,,2061000000.0,13874000000.0,11361000000.0,,1116000000.0,-8189000000.0,9596000000.0,6119000000.0,4870000000.0,8327000000.0,1109000000.0,,,32479000000.0,22297000000.0,902139000.0,881592000.0
2008-12-27,,,,7236000000.0,2.54,2.5,4507000000.0,,1004000000.0,,,,62000000.0,-8639000000.0,3938000000.0,2255000000.0,1406000000.0,3101000000.0,315000000.0,,,11880000000.0,,901494000.0,889142000.0
2009-03-28,,,,4466000000.0,1.82,1.79,3627000000.0,,766000000.0,,,,136000000.0,-12324000000.0,4779000000.0,1620000000.0,2710000000.0,5424000000.0,319000000.0,,,20964000000.0,,902993000.0,890161000.0
2009-06-27,48140000000.0,35170000000.0,,5605000000.0,2.05,2.01,3023000000.0,,864000000.0,22252000000.0,16661000000.0,,344000000.0,-13663000000.0,7049000000.0,1229000000.0,1351000000.0,2632000000.0,341000000.0,,,9734000000.0,25888000000.0,909160000.0,891345000.0
2009-09-26,47501000000.0,36265000000.0,,5263000000.0,6.39,2.77,13140000000.0,,3831000000.0,15861000000.0,19282000000.0,,663000000.0,-17434000000.0,10159000000.0,8235000000.0,5482000000.0,11740000000.0,1333000000.0,,,42905000000.0,31640000000.0,907005000.0,893016000.0
2009-12-26,53926000000.0,33332000000.0,,7609000000.0,3.74,3.67,6411000000.0,,1380000000.0,18158000000.0,13097000000.0,,523000000.0,-3958000000.0,5781000000.0,3378000000.0,1686000000.0,4725000000.0,398000000.0,,,15683000000.0,35768000000.0,919783000.0,903542000.0
2010-03-27,57057000000.0,32336000000.0,,10018000000.0,3.39,3.33,5625000000.0,,955000000.0,17709000000.0,12229000000.0,,685000000.0,-4041000000.0,8111000000.0,6452000000.0,1646000000.0,3979000000.0,824000000.0,,,29182000000.0,39348000000.0,922878000.0,905545000.0
